model	sampleSize	rep	alpha	mu
mreg	3000	13	NaN	0.038531
mreg	3000	14	NaN	0.001430
mreg	3000	15	NaN	0.003058
mreg	3000	16	NaN	0.003471
mreg	3000	17	NaN	0.020451
mreg	3000	18	NaN	0.000589
mreg	3000	19	NaN	0.000313
mreg	3000	20	NaN	0.003058
mreg	3000	21	NaN	0.001260
mreg	3000	22	NaN	0.003471
mreg	3000	23	NaN	0.004472
mreg	3000	24	NaN	0.000862
mreg	3000	25	NaN	0.001842
mreg	3000	26	NaN	0.012321
mreg	3000	27	NaN	0.001623
mreg	3000	28	NaN	0.000862
mreg	3000	29	NaN	0.007423
mreg	3000	30	NaN	0.003940
mreg	3000	31	NaN	0.010855
mreg	3000	32	NaN	0.004472
mreg	3000	33	NaN	0.018018
mreg	3000	34	NaN	0.000862
mreg	3000	35	NaN	0.005762
mreg	3000	36	NaN	0.002091
mreg	3000	37	NaN	0.001842
mreg	3000	38	NaN	0.004472
mreg	3000	39	NaN	0.003940
mreg	3000	40	NaN	0.003058
mreg	3000	41	NaN	0.001260
mreg	3000	42	NaN	0.005076
mreg	3000	43	NaN	0.000403
mreg	3000	44	NaN	0.001110
mreg	3000	45	NaN	0.049641
mreg	3000	46	NaN	0.013985
mreg	3000	47	NaN	0.001623
mreg	3000	48	NaN	0.001842
mreg	3000	49	NaN	0.000978
mreg	3000	50	NaN	0.002374
mreg	3000	51	NaN	0.001430
mreg	3000	52	NaN	0.000519
mreg	3000	53	NaN	0.001260
mreg	3000	54	NaN	0.006540
mreg	3000	55	NaN	0.026348
mreg	3000	56	NaN	0.003058
mreg	3000	57	NaN	0.007423
mreg	3000	58	NaN	0.013985
mreg	3000	59	NaN	0.002091
mreg	3000	60	NaN	0.002374
mreg	3000	61	NaN	0.000403
mreg	3000	62	NaN	0.000862
mreg	3000	63	NaN	0.004472
mreg	3000	64	NaN	0.002091
mreg	3000	65	NaN	0.002694
mreg	3000	66	NaN	0.003471
mreg	3000	67	NaN	0.001842
mreg	3000	68	NaN	0.001260
mreg	3000	69	NaN	0.005076
mreg	3000	70	NaN	0.002694
mreg	3000	71	NaN	0.004472
mreg	3000	72	NaN	0.001260
mreg	3000	73	NaN	0.001430
mreg	3000	74	NaN	0.003940
mreg	3000	75	NaN	0.000978
mreg	3000	76	NaN	0.001430
mreg	3000	77	NaN	0.003471
mreg	3000	78	NaN	0.002694
mreg	3000	79	NaN	0.001110
mreg	3000	80	NaN	0.001260
mreg	3000	81	NaN	0.007423
mreg	3000	82	NaN	0.002374
mreg	3000	83	NaN	0.002374
mreg	3000	84	NaN	0.001430
mreg	3000	85	NaN	0.010855
mreg	3000	86	NaN	0.000978
mreg	3000	87	NaN	0.003471
mreg	3000	88	NaN	0.003058
mreg	3000	89	NaN	0.001260
mreg	3000	90	NaN	0.006540
mreg	3000	91	NaN	0.007423
mreg	3000	92	NaN	0.001260
mreg	3000	93	NaN	0.004472
mreg	3000	94	NaN	0.005762
mreg	3000	95	NaN	0.007423
mreg	3000	96	NaN	0.004472
mreg	3000	97	NaN	0.004472
mreg	3000	98	NaN	0.006540
mreg	3000	99	NaN	0.000759
mreg	3000	100	NaN	0.000589
