model	sampleSize	binLeft	binRight	count	expected	chiSq	chiP	ksD	ksP	pitL1	nScored	nZeroed
kreg	1000	0.900000	0.950000	4392	5000.000000	355.543200	0.00000	0.024860	4.53415e-13	0.051700	100000	0
kreg	1000	0.950000	1.000000	5151	5000.000000	355.543200	0.00000	0.024860	4.53415e-13	0.051700	100000	0
kreg	3000	0.000000	0.050000	15671	15000.000000	450.581067	0.00000	0.017083	1.41354e-12	0.032753	300000	0
kreg	3000	0.050000	0.100000	15712	15000.000000	450.581067	0.00000	0.017083	1.41354e-12	0.032753	300000	0
kreg	3000	0.100000	0.150000	15497	15000.000000	450.581067	0.00000	0.017083	1.41354e-12	0.032753	300000	0
kreg	3000	0.150000	0.200000	15594	15000.000000	450.581067	0.00000	0.017083	1.41354e-12	0.032753	300000	0
kreg	3000	0.200000	0.250000	15700	15000.000000	450.581067	0.00000	0.017083	1.41354e-12	0.032753	300000	0
kreg	3000	0.250000	0.300000	15513	15000.000000	450.581067	0.00000	0.017083	1.41354e-12	0.032753	300000	0
kreg	3000	0.300000	0.350000	15353	15000.000000	450.581067	0.00000	0.017083	1.41354e-12	0.032753	300000	0
kreg	3000	0.350000	0.400000	15268	15000.000000	450.581067	0.00000	0.017083	1.41354e-12	0.032753	300000	0
kreg	3000	0.400000	0.450000	15287	15000.000000	450.581067	0.00000	0.017083	1.41354e-12	0.032753	300000	0
kreg	3000	0.450000	0.500000	15133	15000.000000	450.581067	0.00000	0.017083	1.41354e-12	0.032753	300000	0
kreg	3000	0.500000	0.550000	15087	15000.000000	450.581067	0.00000	0.017083	1.41354e-12	0.032753	300000	0
kreg	3000	0.550000	0.600000	15098	15000.000000	450.581067	0.00000	0.017083	1.41354e-12	0.032753	300000	0
kreg	3000	0.600000	0.650000	14959	15000.000000	450.581067	0.00000	0.017083	1.41354e-12	0.032753	300000	0
kreg	3000	0.650000	0.700000	14714	15000.000000	450.581067	0.00000	0.017083	1.41354e-12	0.032753	300000	0
kreg	3000	0.700000	0.750000	14608	15000.000000	450.581067	0.00000	0.017083	1.41354e-12	0.032753	300000	0
kreg	3000	0.750000	0.800000	14389	15000.000000	450.581067	0.00000	0.017083	1.41354e-12	0.032753	300000	0
kreg	3000	0.800000	0.850000	14325	15000.000000	450.581067	0.00000	0.017083	1.41354e-12	0.032753	300000	0
kreg	3000	0.850000	0.900000	14321	15000.000000	450.581067	0.00000	0.017083	1.41354e-12	0.032753	300000	0
kreg	3000	0.900000	0.950000	13637	15000.000000	450.581067	0.00000	0.017083	1.41354e-12	0.032753	300000	0
kreg	3000	0.950000	1.000000	14134	15000.000000	450.581067	0.00000	0.017083	1.41354e-12	0.032753	300000	0
ccd1	300	0.000000	0.050000	1065	1071.550000	28.589380	0.0727243	0.009851	0.0310244	0.028043	21431	8569
ccd1	300	0.050000	0.100000	1132	1071.550000	28.589380	0.0727243	0.009851	0.0310244	0.028043	21431	8569
ccd1	300	0.100000	0.150000	1101	1071.550000	28.589380	0.0727243	0.009851	0.0310244	0.028043	21431	8569
ccd1	300	0.150000	0.200000	1073	1071.550000	28.589380	0.0727243	0.009851	0.0310244	0.028043	21431	8569
ccd1	300	0.200000	0.250000	1060	1071.550000	28.589380	0.0727243	0.009851	0.0310244	0.028043	21431	8569
ccd1	300	0.250000	0.300000	1070	1071.550000	28.589380	0.0727243	0.009851	0.0310244	0.028043	21431	8569
ccd1	300	0.300000	0.350000	1079	1071.550000	28.589380	0.0727243	0.009851	0.0310244	0.028043	21431	8569
ccd1	300	0.350000	0.400000	1049	1071.550000	28.589380	0.0727243	0.009851	0.0310244	0.028043	21431	8569
ccd1	300	0.400000	0.450000	1058	1071.550000	28.589380	0.0727243	0.009851	0.0310244	0.028043	21431	8569
ccd1	300	0.450000	0.500000	1111	1071.550000	28.589380	0.0727243	0.009851	0.0310244	0.028043	21431	8569
ccd1	300	0.500000	0.550000	1083	1071.550000	28.589380	0.0727243	0.009851	0.0310244	0.028043	21431	8569
ccd1	300	0.550000	0.600000	1080	1071.550000	28.589380	0.0727243	0.009851	0.0310244	0.028043	21431	8569
ccd1	300	0.600000	0.650000	1044	1071.550000	28.589380	0.0727243	0.009851	0.0310244	0.028043	21431	8569
ccd1	300	0.650000	0.700000	1118	1071.550000	28.589380	0.0727243	0.009851	0.0310244	0.028043	21431	8569
ccd1	300	0.700000	0.750000	1157	1071.550000	28.589380	0.0727243	0.009851	0.0310244	0.028043	21431	8569
ccd1	300	0.750000	0.800000	1007	1071.550000	28.589380	0.0727243	0.009851	0.0310244	0.028043	21431	8569
ccd1	300	0.800000	0.850000	1082	1071.550000	28.589380	0.0727243	0.009851	0.0310244	0.028043	21431	8569
