newick	prob	novel
(C,(D,(B,(E,(F,A)))))	1.32648332992e-09	4
(F,(E,(C,((D,B),A))))	1.32648332992e-09	3
((F,E),(C,((D,B),A)))	0.000518519230879	2
(E,(F,(C,((D,B),A))))	1.32648332992e-09	3
(E,((F,C),((D,B),A)))	1.32648332992e-09	4
(E,(C,(F,((D,B),A))))	1.32648332992e-09	4
(E,(C,((F,(D,B)),A)))	1.32648332992e-09	4
(E,(C,(((F,D),B),A)))	1.32648332992e-09	4
(E,(C,((D,(F,B)),A)))	1.32648332992e-09	4
(E,(C,((D,B),(F,A))))	1.32648332992e-09	4
(F,((E,C),((D,B),A)))	1.32648332992e-09	4
((F,(E,C)),((D,B),A))	1.32648332992e-09	4
(((F,E),C),((D,B),A))	2.19799321463e-07	3
((E,(F,C)),((D,B),A))	1.32648332992e-09	4
((E,C),(F,((D,B),A)))	1.32648332992e-09	4
((E,C),((F,(D,B)),A))	1.32648332992e-09	4
((E,C),(((F,D),B),A))	1.32648332992e-09	4
((E,C),((D,(F,B)),A))	1.32648332992e-09	4
((E,C),((D,B),(F,A)))	1.32648332992e-09	4
(F,(C,(E,((D,B),A))))	1.32648332992e-09	4
((F,C),(E,((D,B),A)))	1.32648332992e-09	4
(C,(F,(E,((D,B),A))))	1.32648332992e-09	4
(C,((F,E),((D,B),A)))	2.19799321463e-07	3
(C,(E,(F,((D,B),A))))	1.32648332992e-09	4
(C,(E,((F,(D,B)),A)))	1.32648332992e-09	4
(C,(E,(((F,D),B),A)))	1.32648332992e-09	4
(C,(E,((D,(F,B)),A)))	1.32648332992e-09	4
(C,(E,((D,B),(F,A))))	1.32648332992e-09	4
(F,(C,((E,(D,B)),A)))	1.32648332992e-09	4
((F,C),((E,(D,B)),A))	1.32648332992e-09	4
(C,(F,((E,(D,B)),A)))	1.32648332992e-09	4
(C,((F,(E,(D,B))),A))	1.32648332992e-09	4
(C,(((F,E),(D,B)),A))	2.19799321463e-07	3
(C,((E,(F,(D,B))),A))	1.32648332992e-09	4
(C,((E,((F,D),B)),A))	1.32648332992e-09	4
(C,((E,(D,(F,B))),A))	1.32648332992e-09	4
(C,((E,(D,B)),(F,A)))	1.32648332992e-09	4
(F,(C,(((E,D),B),A)))	1.32648332992e-09	4
((F,C),(((E,D),B),A))	1.32648332992e-09	4
(C,(F,(((E,D),B),A)))	1.32648332992e-09	4
(C,((F,((E,D),B)),A))	1.32648332992e-09	4
(C,(((F,(E,D)),B),A))	1.32648332992e-09	4
(C,((((F,E),D),B),A))	2.19799321463e-07	3
(C,(((E,(F,D)),B),A))	1.32648332992e-09	4
(C,(((E,D),(F,B)),A))	1.32648332992e-09	4
(C,(((E,D),B),(F,A)))	1.32648332992e-09	4
(F,(C,((D,(E,B)),A)))	1.32648332992e-09	4
((F,C),((D,(E,B)),A))	1.32648332992e-09	4
(C,(F,((D,(E,B)),A)))	1.32648332992e-09	4
(C,((F,(D,(E,B))),A))	1.32648332992e-09	4
(C,(((F,D),(E,B)),A))	1.32648332992e-09	4
(C,((D,(F,(E,B))),A))	1.32648332992e-09	4
(C,((D,((F,E),B)),A))	2.19799321463e-07	3
(C,((D,(E,(F,B))),A))	1.32648332992e-09	4
(C,((D,(E,B)),(F,A)))	1.32648332992e-09	4
(F,(C,((D,B),(E,A))))	1.32648332992e-09	4
((F,C),((D,B),(E,A)))	1.32648332992e-09	4
(C,(F,((D,B),(E,A))))	1.32648332992e-09	4
(C,((F,(D,B)),(E,A)))	1.32648332992e-09	4
(C,(((F,D),B),(E,A)))	1.32648332992e-09	4
(C,((D,(F,B)),(E,A)))	1.32648332992e-09	4
(C,((D,B),(F,(E,A))))	1.32648332992e-09	4
(C,((D,B),((F,E),A)))	2.19799321463e-07	3
(C,((D,B),(E,(F,A))))	1.32648332992e-09	4
(F,(E,(C,(B,(D,A)))))	1.32648332992e-09	3
((F,E),(C,(B,(D,A))))	0.000518519230879	2
(E,(F,(C,(B,(D,A)))))	1.32648332992e-09	3
(E,((F,C),(B,(D,A))))	1.32648332992e-09	4
(E,(C,(F,(B,(D,A)))))	1.32648332992e-09	4
(E,(C,((F,B),(D,A))))	1.32648332992e-09	4
(E,(C,(B,(F,(D,A)))))	1.32648332992e-09	4
(E,(C,(B,((F,D),A))))	1.32648332992e-09	4
(E,(C,(B,(D,(F,A)))))	1.32648332992e-09	4
(F,((E,C),(B,(D,A))))	1.32648332992e-09	4
((F,(E,C)),(B,(D,A)))	1.32648332992e-09	4
(((F,E),C),(B,(D,A)))	2.19799321463e-07	3
((E,(F,C)),(B,(D,A)))	1.32648332992e-09	4
((E,C),(F,(B,(D,A))))	1.32648332992e-09	4
((E,C),((F,B),(D,A)))	1.32648332992e-09	4
((E,C),(B,(F,(D,A))))	1.32648332992e-09	4
((E,C),(B,((F,D),A)))	1.32648332992e-09	4
((E,C),(B,(D,(F,A))))	1.32648332992e-09	4
(F,(C,(E,(B,(D,A)))))	1.32648332992e-09	4
((F,C),(E,(B,(D,A))))	1.32648332992e-09	4
(C,(F,(E,(B,(D,A)))))	1.32648332992e-09	4
(C,((F,E),(B,(D,A))))	2.19799321463e-07	3
(C,(E,(F,(B,(D,A)))))	1.32648332992e-09	4
(C,(E,((F,B),(D,A))))	1.32648332992e-09	4
(C,(E,(B,(F,(D,A)))))	1.32648332992e-09	4
(C,(E,(B,((F,D),A))))	1.32648332992e-09	4
(C,(E,(B,(D,(F,A)))))	1.32648332992e-09	4
(F,(C,((E,B),(D,A))))	1.32648332992e-09	4
((F,C),((E,B),(D,A)))	1.32648332992e-09	4
(C,(F,((E,B),(D,A))))	1.32648332992e-09	4
(C,((F,(E,B)),(D,A)))	1.32648332992e-09	4
(C,(((F,E),B),(D,A)))	2.19799321463e-07	3
(C,((E,(F,B)),(D,A)))	1.32648332992e-09	4
(C,((E,B),(F,(D,A))))	1.32648332992e-09	4
(C,((E,B),((F,D),A)))	1.32648332992e-09	4
(C,((E,B),(D,(F,A))))	1.32648332992e-09	4
(F,(C,(B,(E,(D,A)))))	1.32648332992e-09	4
((F,C),(B,(E,(D,A))))	1.32648332992e-09	4
(C,(F,(B,(E,(D,A)))))	1.32648332992e-09	4
(C,((F,B),(E,(D,A))))	1.32648332992e-09	4
(C,(B,(F,(E,(D,A)))))	1.32648332992e-09	4
(C,(B,((F,E),(D,A))))	2.19799321463e-07	3
(C,(B,(E,(F,(D,A)))))	1.32648332992e-09	4
(C,(B,(E,((F,D),A))))	1.32648332992e-09	4
(C,(B,(E,(D,(F,A)))))	1.32648332992e-09	4
(F,(C,(B,((E,D),A))))	1.32648332992e-09	4
((F,C),(B,((E,D),A)))	1.32648332992e-09	4
(C,(F,(B,((E,D),A))))	1.32648332992e-09	4
(C,((F,B),((E,D),A)))	1.32648332992e-09	4
(C,(B,(F,((E,D),A))))	1.32648332992e-09	4
(C,(B,((F,(E,D)),A)))	1.32648332992e-09	4
(C,(B,(((F,E),D),A)))	2.19799321463e-07	3
(C,(B,((E,(F,D)),A)))	1.32648332992e-09	4
(C,(B,((E,D),(F,A))))	1.32648332992e-09	4
(F,(C,(B,(D,(E,A)))))	1.32648332992e-09	4
((F,C),(B,(D,(E,A))))	1.32648332992e-09	4
(C,(F,(B,(D,(E,A)))))	1.32648332992e-09	4
(C,((F,B),(D,(E,A))))	1.32648332992e-09	4
(C,(B,(F,(D,(E,A)))))	1.32648332992e-09	4
(C,(B,((F,D),(E,A))))	1.32648332992e-09	4
(C,(B,(D,(F,(E,A)))))	1.32648332992e-09	4
(C,(B,(D,((F,E),A))))	2.19799321463e-07	3
(C,(B,(D,(E,(F,A)))))	1.32648332992e-09	4
(F,(E,(D,((C,B),A))))	6.27071583215e-05	2
((F,E),(D,((C,B),A)))	0.00987109375000	1
(E,(F,(D,((C,B),A))))	6.27071583215e-05	2
(E,((F,D),((C,B),A)))	1.32648332992e-09	3
(E,(D,(F,((C,B),A))))	1.32648332992e-09	3
(E,(D,((F,(C,B)),A)))	1.32648332992e-09	4
(E,(D,(((F,C),B),A)))	1.32648332992e-09	4
(E,(D,((C,(F,B)),A)))	1.32648332992e-09	4
(E,(D,((C,B),(F,A))))	1.32648332992e-09	4
(F,((E,D),((C,B),A)))	1.32648332992e-09	3
((F,(E,D)),((C,B),A))	1.32648332992e-09	3
(((F,E),D),((C,B),A))	2.19799321463e-07	2
((E,(F,D)),((C,B),A))	1.32648332992e-09	3
((E,D),(F,((C,B),A)))	1.32648332992e-09	3
((E,D),((F,(C,B)),A))	1.32648332992e-09	4
